feature	Sample_1S3	Sample_1S6	Sample_1S9	Sample_1S12	Sample_1S15	Sample_1S18	Sample_1S21	Sample_1S24	Sample_4S2	Sample_4S5	Sample_4S8	Sample_4S11	Sample_4S14	Sample_4S17	Sample_4S20	Sample_4S23	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_2S1	Sample_2S4	Sample_2S7	Sample_2S10	Sample_2S13	Sample_2S16	Sample_2S19	Sample_2S22	Sample_4S3	Sample_4S6	Sample_4S9	Sample_4S12	Sample_4S15	Sample_4S18	Sample_4S21	Sample_4S24	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_2S2	Sample_2S5	Sample_2S8	Sample_2S11	Sample_2S14	Sample_2S17	Sample_2S20	Sample_2S23	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_PC1	Sample_PC7	Sample_PC13	Sample_PC18	Sample_PC21	Sample_PC27	Sample_PC31	Sample_PC36	Sample_2S3	Sample_2S6	Sample_2S9	Sample_2S12	Sample_2S15	Sample_2S18	Sample_2S21	Sample_2S24	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_Pan01	Sample_PC2	Sample_PC8	Sample_PC14	Sample_PC19	Sample_PC22	Sample_PC28	Sample_PC32	Sample_3S1	Sample_3S4	Sample_3S7	Sample_3S10	Sample_3S13	Sample_3S16	Sample_3S19	Sample_3S22	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_Pan02	Sample_PC3	Sample_PC9	Sample_PC15	Sample_PC20	Sample_PC23	Sample_PC29	Sample_PC33	Sample_2S25	Sample_3S2	Sample_3S5	Sample_3S8	Sample_3S11	Sample_3S14	Sample_3S17	Sample_3S20	Sample_3S23	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_Pan03	Sample_PC4	Sample_PC10	Sample_PC16	Sample_PC24	Sample_PC30	Sample_PC34	Sample_1S1	Sample_1S4	Sample_1S7	Sample_1S10	Sample_1S13	Sample_1S16	Sample_1S19	Sample_1S22	Sample_3S3	Sample_3S6	Sample_3S9	Sample_3S12	Sample_3S15	Sample_3S18	Sample_3S21	Sample_3S24	Sample_3S25	Sample_N50	Sample_Pan04	Sample_PC5	Sample_PC11	Sample_PC17	Sample_PC25	Sample_PC35	Sample_1S2	Sample_1S5	Sample_1S8	Sample_1S11	Sample_1S14	Sample_1S17	Sample_1S20	Sample_1S23	Sample_1S25	Sample_4S1	Sample_4S4	Sample_4S7	Sample_4S10	Sample_4S13	Sample_4S16	Sample_4S19	Sample_4S22	Sample_4S25	Sample_N49	Sample_Pan05	Sample_Pan06	Sample_PC6	Sample_PC12	Sample_PC26
hsa-miR-548au-5p|miRNA|hsa-miR-548au-5p|hsa-miR-548au-5p|hsa-miR-548au-5p|0|21	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548av-3p|miRNA|hsa-miR-548av-3p|hsa-miR-548av-3p|hsa-miR-548av-3p|0|20	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548av-5p|miRNA|hsa-miR-548av-5p|hsa-miR-548av-5p|hsa-miR-548av-5p|0|18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548aw|miRNA|hsa-miR-548aw|hsa-miR-548aw|hsa-miR-548aw|0|20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-548ax|miRNA|hsa-miR-548ax|hsa-miR-548ax|hsa-miR-548ax|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ay-3p|miRNA|hsa-miR-548ay-3p|hsa-miR-548ay-3p|hsa-miR-548ay-3p|0|22	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ay-5p|miRNA|hsa-miR-548ay-5p|hsa-miR-548ay-5p|hsa-miR-548ay-5p|0|21	0	0	0	0	0	1	0	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	2	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-548az-3p|miRNA|hsa-miR-548az-3p|hsa-miR-548az-3p|hsa-miR-548az-3p|0|21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548az-5p|miRNA|hsa-miR-548az-5p|hsa-miR-548az-5p|hsa-miR-548az-5p|0|22	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548b-3p|miRNA|hsa-miR-548b-3p|hsa-miR-548b-3p|hsa-miR-548b-3p|0|22	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-548b-5p|miRNA|hsa-miR-548b-5p|hsa-miR-548b-5p|hsa-miR-548b-5p|0|22	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ba|miRNA|hsa-miR-548ba|hsa-miR-548ba|hsa-miR-548ba|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548bb-3p|miRNA|hsa-miR-548bb-3p|hsa-miR-548bb-3p|hsa-miR-548bb-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548bb-5p|miRNA|hsa-miR-548bb-5p|hsa-miR-548bb-5p|hsa-miR-548bb-5p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548bc|miRNA|hsa-miR-548bc|hsa-miR-548bc|hsa-miR-548bc|0|21	2	2	2	2	1	1	0	5	1	6	215	0	1	2	1	2	1	1	7	3	0	4	1	1	1	1	6	2	2	3	18	2	3	4	1	1	2	0	0	1	2	0	4	0	1	4	3	0	5	1	5	1	0	1	0	0	1	2	2	6	3	0	3	1	2	0	2	2	1	1	0	0	6	1	14	2	2	2	2	2	2	3	5	5	0	3	3	0	1	1	1	1	4	3	2	0	12	6	1	3	13	1	0	0	4	5	4	6	3	4	3	0	0	23	0	0	2	5	0	3	1	2	2	0	8	0	5	3	6	7	1	1	0	0	6	35	2	0	1	2	0	0	1	0	0	1	2	0	1	20	2	5	1	0	1	7	0	0	12	2	5	0	0	2	5	2	3	0	3	2	1	1	2	4	1	6	5	16	2	0	0	1	4	0	3	2	4	0	0	0	3	3
hsa-miR-548c-3p|miRNA|hsa-miR-548c-3p|hsa-miR-548c-3p|hsa-miR-548c-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548c-5p|miRNA|hsa-miR-548c-5p|hsa-miR-548c-5p|hsa-miR-548c-5p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548d-3p|miRNA|hsa-miR-548d-3p|hsa-miR-548d-3p|hsa-miR-548d-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548d-5p|miRNA|hsa-miR-548d-5p|hsa-miR-548d-5p|hsa-miR-548d-5p|0|22	0	0	1	0	0	0	0	0	0	0	25	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	2	0	2	0	4	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	4	0	1	0	1	2	1	1	0	2	2	0	1	1	0	1	0	0	0	0	0	0	2	2	0	1	1	0	1	0	0	1	3	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	1	6	1	1	0	0	0	2	0	2	1	2	2	0	0	0	1	0	4	0	1	0	0	0	3	0	0	0	2	3	1	0	0	0	1	0	0	0	0	2	0	0	0	0
hsa-miR-548e-3p|miRNA|hsa-miR-548e-3p|hsa-miR-548e-3p|hsa-miR-548e-3p|0|22	2	4	3	4	2	1	4	7	0	2	128	1	4	10	1	10	10	3	17	4	2	3	0	3	3	3	13	6	6	5	11	2	1	10	9	8	5	4	5	7	4	3	4	12	5	11	2	0	8	10	21	10	6	5	3	3	6	2	3	11	4	3	6	5	3	4	9	7	5	3	3	0	9	8	17	1	4	8	5	7	7	9	2	6	12	3	2	5	1	7	2	5	4	3	2	2	13	10	2	16	13	4	2	0	9	7	4	8	1	2	1	2	3	21	5	4	5	10	4	1	7	5	11	7	9	5	6	8	6	2	4	4	0	8	2	17	3	2	0	3	2	0	3	5	5	9	2	2	3	7	4	6	4	1	7	16	1	1	5	0	5	3	2	6	3	3	3	3	6	3	1	3	10	3	6	14	6	14	7	14	4	6	3	2	2	2	3	0	1	2	6	0
hsa-miR-548e-5p|miRNA|hsa-miR-548e-5p|hsa-miR-548e-5p|hsa-miR-548e-5p|0|22	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-548f-3p|miRNA|hsa-miR-548f-3p|hsa-miR-548f-3p|hsa-miR-548f-3p|0|19	0	0	1	2	0	0	0	3	2	0	46	0	0	1	1	3	9	2	11	0	3	1	0	3	1	1	1	2	1	1	2	1	2	4	2	3	1	0	2	1	2	0	1	1	1	5	2	0	2	2	6	0	0	3	1	0	2	2	0	8	4	0	0	0	2	1	0	0	4	2	0	0	3	0	8	1	0	2	0	0	1	2	3	1	2	0	0	4	0	1	3	4	0	1	1	0	3	4	0	5	4	1	0	1	2	1	2	0	4	0	1	0	1	5	0	3	5	4	0	0	1	0	0	2	1	1	1	0	2	2	0	1	1	0	1	6	0	0	0	0	0	0	0	4	1	1	0	0	0	3	0	3	1	0	2	6	0	0	5	0	4	0	0	2	0	0	2	1	0	0	1	0	0	1	1	6	3	3	3	0	1	1	4	1	1	1	1	0	0	0	2	0
hsa-miR-548f-5p|miRNA|hsa-miR-548f-5p|hsa-miR-548f-5p|hsa-miR-548f-5p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548g-3p|miRNA|hsa-miR-548g-3p|hsa-miR-548g-3p|hsa-miR-548g-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548h-3p|miRNA|hsa-miR-548h-3p|hsa-miR-548h-3p|hsa-miR-548h-3p|0|23	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-548h-5p|miRNA|hsa-miR-548h-5p|hsa-miR-548h-5p|hsa-miR-548h-5p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548i|miRNA|hsa-miR-548i|hsa-miR-548i|hsa-miR-548i|0|22	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-548j-3p|miRNA|hsa-miR-548j-3p|hsa-miR-548j-3p|hsa-miR-548j-3p|0|21	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	1	1	2	1	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	1	2	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	1	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0
